date,time,title,link
23-10-2025,17:14,Google test opnieuw maatregel in Chrome om cookiediefstal te voorkomen,https://www.security.nl/posting/910295/Google+test+opnieuw+maatregel+in+Chrome+om+cookiediefstal+te+voorkomen
23-10-2025,16:23,Lek in FIA-portaal gaf onderzoekers toegang tot paspoort Max Verstappen,https://www.security.nl/posting/910282/Lek+in+FIA-portaal+gaf+onderzoekers+toegang+tot+paspoort+Max+Verstappen
23-10-2025,15:00,Criminelen publiceren gegevens Albert Heijn-medewerkers op internet,https://www.security.nl/posting/910254/Criminelen+publiceren+gegevens+Albert+Heijn-medewerkers+op+internet
23-10-2025,14:07,'Kwart Fransen wil 6 euro per maand betalen voor social media zonder reclame',https://www.security.nl/posting/910237/%27Kwart+Fransen+wil+6+euro+per+maand+betalen+voor+social+media+zonder+reclame%27
23-10-2025,13:52,Tinder verplicht in meerdere landen gezichtsscan voor nieuwe gebruikers,https://www.security.nl/posting/910235/Tinder+verplicht+in+meerdere+landen+gezichtsscan+voor+nieuwe+gebruikers
23-10-2025,13:13,Mozilla stelt nieuwe eisen aan Firefox-extensies die persoonlijke data verzamelen,https://www.security.nl/posting/910221/Mozilla+stelt+nieuwe+eisen+aan+Firefox-extensies+die+persoonlijke+data+verzamelen
23-10-2025,12:40,Onderzoeker: Gaming Copilot Windows 11 faalt eenvoudige privacytest,https://www.security.nl/posting/910208/Onderzoeker%3A+Gaming+Copilot+Windows+11+faalt+eenvoudige+privacytest
23-10-2025,12:08,AP wijst organisaties op verplichte AI-geletterdheid bij personeel,https://www.security.nl/posting/910202/AP+wijst+organisaties+op+verplichte+AI-geletterdheid+bij+personeel
23-10-2025,11:51,Friese afvalverwerker Omrin heeft nog altijd last van ransomware-aanval,https://www.security.nl/posting/910198/Friese+afvalverwerker+Omrin+heeft+nog+altijd+last+van+ransomware-aanval
23-10-2025,09:43,'Europese defensiebedrijven doelwit van aanvallen met malafide vacatures',https://www.security.nl/posting/910184/%27Europese+defensiebedrijven+doelwit+van+aanvallen+met+malafide+vacatures%27
23-10-2025,09:28,Adobe waarschuwt webwinkels voor actief misbruik van kritiek beveiligingslek,https://www.security.nl/posting/910182/Adobe+waarschuwt+webwinkels+voor+actief+misbruik+van+kritiek+beveiligingslek
22-10-2025,17:26,Criminelen stelen afbeeldingen videomeetings en gevoelige data handelsbedrijf,https://www.security.nl/posting/910132/Criminelen+stelen+afbeeldingen+videomeetings+en+gevoelige+data+handelsbedrijf
22-10-2025,16:50,Philips Hue Bridge en Samsung Galaxy S25 gehackt tijdens Pwn2Own,https://www.security.nl/posting/910117/Philips+Hue+Bridge+en+Samsung+Galaxy+S25+gehackt+tijdens+Pwn2Own
22-10-2025,15:50,Ziekenhuis Maagdeneilanden bijna 5 maanden offline na ransomware-aanval,https://www.security.nl/posting/910107/Ziekenhuis+Maagdeneilanden+bijna+5+maanden+offline+na+ransomware-aanval
22-10-2025,14:41,Digitaal rijbewijs op smartphone wordt standaard in Europese Unie,https://www.security.nl/posting/910091/Digitaal+rijbewijs+op+smartphone+wordt+standaard+in+Europese+Unie
22-10-2025,14:12,"'Cyberaanval Jaguar Land Rover kost Verenigd Koninkrijk 2,2 miljard euro'",https://www.security.nl/posting/910089/%27Cyberaanval+Jaguar+Land+Rover+kost+Verenigd+Koninkrijk+2%2C2+miljard+euro%27
22-10-2025,12:40,TP-Link dicht kritiek command injection-lek in Omada-gateways,https://www.security.nl/posting/910078/TP-Link+dicht+kritiek+command+injection-lek+in+Omada-gateways
22-10-2025,12:19,Oracle brengt kritieke beveiligingsupdates uit voor allerlei producten,https://www.security.nl/posting/910077/Oracle+brengt+kritieke+beveiligingsupdates+uit+voor+allerlei+producten
22-10-2025,11:59,WhatsApp toont waarschuwing bij delen van scherm met onbekenden,https://www.security.nl/posting/910070/WhatsApp+toont+waarschuwing+bij+delen+van+scherm+met+onbekenden
22-10-2025,11:22,183 miljoen gecompromitteerde e-mailadressen toegevoegd aan HIBP,https://www.security.nl/posting/910061/183+miljoen+gecompromitteerde+e-mailadressen+toegevoegd+aan+HIBP
22-10-2025,11:00,Google waarschuwt voor malware-aanval via malafide captcha,https://www.security.nl/posting/910057/Google+waarschuwt+voor+malware-aanval+via+malafide+captcha
22-10-2025,10:19,Vidar-malware gebruikt multi-threading voor sneller stelen van wachtwoorden,https://www.security.nl/posting/910049/Vidar-malware+gebruikt+multi-threading+voor+sneller+stelen+van+wachtwoorden
21-10-2025,17:17,'Apple waarschuwt exploit-ontwikkelaar dat zijn iPhone doelwit van spyware was',https://www.security.nl/posting/909997/%27Apple+waarschuwt+exploit-ontwikkelaar+dat+zijn+iPhone+doelwit+van+spyware+was%27
21-10-2025,15:07,Belgisch bedrijf berispt voor niet op tijd verwijderen e-mailaccount ex-werknemer,https://www.security.nl/posting/909983/Belgisch+bedrijf+berispt+voor+niet+op+tijd+verwijderen+e-mailaccount+ex-werknemer
21-10-2025,14:22,VK roept bedrijven op om cybersecurity prioriteit van directie te maken,https://www.security.nl/posting/909974/VK+roept+bedrijven+op+om+cybersecurity+prioriteit+van+directie+te+maken
